"";"internacao";"amq";"consulta";"domiciliar";"emergencia";"honorario";"material";"medicamento";"nulo";"pacote";"remocao";"sadt";"taxa"
"198";"s";"20140401";NA;3547;NA;23858;217150;396917;NA;6849;481;63219;47410
"199";"s";"20140402";NA;2434;NA;21412;207444;355840;1;5517;5;59312;45928
"200";"s";"20140501";NA;4337;NA;22281;201529;380654;NA;6498;14;60648;48748
"201";"s";"20140502";NA;2290;NA;23861;219956;396938;13;6974;4;64215;48912
"202";"s";"20140601";NA;3480;NA;22595;215527;369253;2;5941;6;64960;44811
"203";"s";"20140602";NA;2456;NA;21375;183345;373848;NA;4107;954;59951;44835
"204";"s";"20140701";NA;5089;NA;23832;206830;418540;NA;6140;20;62290;48129
"205";"s";"20140702";NA;3395;NA;24829;205561;401801;1;8123;6;66678;45908
"206";"s";"20140801";NA;4736;NA;25069;218919;421317;NA;6932;32;69193;50978
"207";"s";"20140802";NA;2283;NA;27677;248109;452352;1;7129;6;71204;53466
"208";"s";"20140901";NA;3958;NA;25499;246140;435771;1;7207;38;67349;51935
"209";"s";"20140902";NA;2258;NA;25300;235917;421142;NA;7656;1;67406;48036
"210";"s";"20141001";NA;4915;NA;25370;247152;387266;NA;7176;280;64918;48557
"211";"s";"20141002";NA;3208;NA;27184;263532;465916;1;7204;8;68231;52225
"212";"s";"20141101";NA;3721;NA;24082;228265;416320;NA;6160;12;60302;43975
"213";"s";"20141102";NA;2378;NA;23255;231432;431173;NA;6306;4;59612;42758
"214";"s";"20141201";NA;4191;NA;22547;229408;451252;11;7353;9;61640;45682
"215";"s";"20141202";NA;3406;NA;22040;209266;408380;1;5072;6;61076;42193
"216";"s";"20150101";NA;6860;NA;22451;186288;379754;2;5896;35;61186;44087
"217";"s";"20150102";NA;3986;NA;26135;233095;537370;1;7536;8;69449;46459
"218";"s";"20150201";NA;5106;NA;23349;221201;550442;NA;6362;9;63526;43494
"219";"s";"20150202";NA;2706;NA;21541;196378;435035;2;5942;7;55848;41047
"220";"s";"20150301";NA;5484;NA;25780;231068;816757;NA;7958;1215;67044;49831
"221";"s";"20150302";NA;3571;NA;29594;253612;909363;4;9225;10;74650;53525
"222";"s";"20150401";NA;5447;NA;27096;231989;777721;2;7518;249;70160;49853
"223";"s";"20150402";NA;3522;NA;26037;230849;842760;NA;7508;5;70882;49428
"224";"s";"20150501";NA;5541;NA;28056;251377;733276;8;8129;10;75581;50762
"225";"s";"20150502";NA;3789;NA;29641;274855;695089;NA;7868;6;78573;56218
"226";"s";"20150601";NA;6301;NA;27206;263722;572380;1;7198;78;72796;51247
"227";"s";"20150602";NA;3605;NA;27022;274160;674047;NA;6479;5;73759;51645
"228";"s";"20150701";NA;6994;NA;28688;283822;641020;NA;7922;972;78979;54333
"229";"s";"20150702";NA;4062;NA;29935;272876;841978;NA;9364;959;82703;53911
"230";"s";"20150801";NA;6870;NA;27153;244960;858123;1;8278;94;72747;48870
"231";"s";"20150802";NA;3973;NA;28938;257790;914256;2;9082;1011;78243;54949
"232";"s";"20150901";NA;7152;NA;26005;256324;873672;3;7717;18;71681;48992
"233";"s";"20150902";NA;3744;NA;26292;250839;886596;NA;9045;3;71316;46896
"234";"s";"20151001";NA;7246;NA;25925;245483;939949;1;8235;23;70225;48105
"235";"s";"20151002";NA;3766;NA;27618;253357;888200;NA;8663;6;74326;50054
"236";"s";"20151101";NA;7098;NA;24655;222613;756975;NA;7710;982;69486;48095
"237";"s";"20151102";NA;3646;NA;26018;248880;714070;1;9309;11;70145;47898
"238";"s";"20151201";NA;6794;NA;24910;240512;811412;NA;8374;21;72885;43578
"239";"s";"20151202";NA;4012;NA;22350;195031;685814;NA;5586;5;60599;38266
"240";"s";"20160101";NA;7550;NA;21446;206024;598877;NA;7455;22;58581;38766
"241";"s";"20160102";NA;4115;NA;25659;202994;698524;NA;9022;10;70855;43025
"242";"s";"20160201";NA;7039;NA;22859;203239;775149;NA;5718;21;64340;41906
"243";"s";"20160202";NA;3597;NA;25572;192572;611390;1;9000;13;68732;44061
"244";"s";"20160301";NA;7293;NA;25766;217618;718161;NA;8843;29;67483;46905
"245";"s";"20160302";NA;3574;NA;27480;189928;709853;NA;9339;14;72764;48896
"246";"s";"20160401";NA;7566;NA;25279;222603;691435;NA;9377;24;67556;48271
"247";"s";"20160402";NA;3266;NA;25044;217262;683897;NA;7784;6;66828;44079
"248";"s";"20160501";NA;8010;NA;24874;193085;688431;12;8534;31;66416;43845
"249";"s";"20160502";NA;3723;NA;27071;203697;682229;NA;10027;12;70723;48104
"250";"s";"20160601";NA;7582;NA;26329;172882;567973;NA;9346;31;70766;48863
"251";"s";"20160602";NA;3928;NA;25406;171119;540669;NA;7192;12;69205;47710
"252";"s";"20160701";NA;7901;NA;26513;214708;645756;NA;9698;71;69521;48503
"253";"s";"20160702";NA;3670;NA;27116;182200;701319;NA;9553;12;73807;47387
"254";"s";"20160801";NA;8560;NA;25978;194626;573190;9;9799;20;70701;48275
"255";"s";"20160802";NA;4162;NA;29299;199911;696538;3;10678;119;77411;49842
"256";"s";"20160901";NA;8766;NA;25229;199104;612052;NA;9246;24;68371;44756
"257";"s";"20160902";NA;4382;NA;26185;196830;751326;7;9937;17;68166;45533
"258";"s";"20161001";NA;8844;NA;24509;193146;704207;7;8227;30;68332;44112
"259";"s";"20161002";NA;4781;NA;26713;207621;695481;NA;9862;14;70852;48513
"260";"s";"20161101";NA;8716;NA;23621;203307;616390;NA;8277;22;60273;45879
"261";"s";"20161102";NA;4645;NA;25128;203243;704724;NA;10164;14;64680;45448
"262";"s";"20161201";NA;8839;NA;24813;235202;677850;11;9203;34;64112;46273
"263";"s";"20161202";NA;4869;NA;26362;207407;740683;8;6507;16;71942;47303
"264";"s";"20170101";NA;9344;NA;24021;143847;605273;NA;7448;116;63052;45561
"265";"s";"20170102";NA;4725;NA;28129;103286;399822;1;10955;15;71255;46759
"266";"s";"20170201";NA;8722;NA;25172;60586;217235;NA;9172;29;64732;46517
"267";"s";"20170202";NA;3368;NA;17553;13140;57583;NA;5188;6;47133;32249
"268";"s";"20170301";NA;3635;NA;20507;22809;105788;6;6279;6;52871;34233
"269";"s";"20170302";NA;1015;NA;6720;NA;NA;NA;3890;1;17377;10154
